SWP_No,Accused_or_Topic,Date,Legal_Proceeding,Trial_Text,word_count,char_count
SWP No. 170.2,Superior Court of Judicature: Witchcraft Trials (January - May 1693),"January 4, 1693",Record,"(Record of the Trial of Margaret Jacobs ) [+ January 4, 1693] Jury Swoarn James Freind foreman Richard Gross John Emery John Ordway John Abby John Witt Josiah Gage James Sanders Nathan'll Emerson Sen'r Thomas Edwards John Pritchard John Plats Margaret Jacobs of Salem in the County of Essex Singlewoman was Arraigned being indicted by the Jurors for our Soveraigne Lord and Lady the King and Queen upon their Oaths For that the said Margaret Jacobs upon the Eleventh day of May in the year of our Lord One thousand six hundred Ninety and two and divers other dayes and times as well before as after Certain detestable arts called Witchcraft and Sorceries Wickedly mallitiously and feloniously hath used practised and Excised at and in the Towne of Salem in the County of Essex afores'd in upon and against one Mary Wallcott of Salem afores'd Singlewoman by which said wicked Arts the said Mary Wallcott the day and year aforesaid and divers other dayes and times both before and after was and is Tortured afflicted Consumed Wasted Pined and Tormented and allso for sundry other Acts of witchcraft  by the said Margret Jacobs Comitted and don before and since that time against the peace of our Soveraigne Lord and Lady the King and Queen their Crowne and dignity and the forme in the Stattute in that Case made and provided. And upon one other Indictment That the said Margaret Jacobs on the Eleventh day of May aforesaid in the year afores'd and divers other dayes and times as well before as after Certain detestable arts called Witchcraft and Sorcerys wicked-mallitiously hath used practised and Exercised at and in the Towne of Salem in the County of Essex Afores'd in upon & against one Elizabeth Hobert of Salem Singlewoman, by w'ch said wicked Acts the said Elizabeth Hobard the day and year aforesaid and divers other dayes and times both before & after was and is Tortured Afflicted Consumed Wasted Pined and Tormented and also for sundry other Acts of witchcraft by the said Margaret Jacobs Comitted and don before and since that time against our Soveraigne Lord and Lady the King and Queen their Crowne and dignity and the forme in the Stattute in that Case made and Provided. Upon w'ch Indictments shee was Arraigned and to both the said Indictments pleaded not Guilty and put herselfe upon Tryall by God and the Country The first Jury was Called Edward flint foreman, and #[and] noe objection being made were Sworn to pass upon her Tryall And the Evidences in the Case were read and the Case was Committed to the Jury. The Jury Gave in their Verdict viz't They find that Margaret Jacobs the Prisoner at the Barr is not guilty of the felony by Witchcraft whereof Shee hath been Indicted. The Court Ordered that the said Margaret Jacobs be discharged paying her fees. (Records of the Superior Court of Judicature (1692/3), p. 2, Massachusetts Supreme Judicial Court, Judicial Archives, MassachusettsState Archives. Boston, MA.)",504,2938
SWP No. 136.3,"Sarah Wilds Executed July 19, 1692","June 30, 1692",Indictment,"(Indictment of ( Sarah Wilds , for Afflicting Mercy Lewis ) [+ June 30, 1692] Anno Regis et Reginae Willm et Mariae nunc Angliae &c Quarto Essex ss The Jurors for our Sovereigne Lord and Lady the King and Queen pr'sents That Sarah Willes wife of John Willes of Topsfield Husbandman the Twenty Second Day of Aprill in the forth Year of the Reigne of our Sovereigne Lord and Lady William and Mary by the Grace of God of England Scottland France and Ireland King and Queen Defenders of the faith &c and divers other Dayes and times as well before as after, certaine Detestable Arts called Witchcrafts and sorceries wickedly and felloniously hath used Practised and Ex[e]ercised at and within the Towneship of Salem in the County of Essex aforesaid in upon and against one Marcy Lewis of Salem Villiage Singlewoman by which said wicked Acts the said Mercey Lewis -- the Twenty Second Day of Aprill aforesaid in the forth Year aboves'd and Divers other Dayes and times as well before and after, was and is Tortured Afflicted Pined Consumed wasted & Tormented and also for Sundery orther Acts of Witchcraft by said Sarah Willes. Committed and Done before and since that time ag't  the Peace of our Sovereigne Lord & Lady the King and Queen, and ag't the form of the Statute in that Case made and Provided. Witnesses Marcy Lewis Ann Putman Mary Wolcott (Reverse) Sarah Wills Ind't Contr. Willes No. (1) biula vera ( Essex Institute MSS Collection, no. 14, Peabody Essex Museum, Phillips Library, Rowley, MA. )",263,1502
SWP No. 172.12,"Petitions to the General Court, with Responses (1696-1725)","May 26, 1697",Response of General,"[![Figure m03](/archives/MidSex/large/m03n.jpg (Response of the General Court to Timothy Phillips Petition) [May 26, 1697] Province of the Massachusetts Bay Anno RR Gulielmi Tertii Angliae &c nono [?] At a Great and General Court or Assemby begun and held at Boston upon Wednesday the 26th : of May 1697. and continued by several Prorogations unto Wednesday the 15th of December following & then met Upon reading the Petition and Accompt presented by Timothy Phillips sheriff of the County of Middlesex amounting unto Forty two pounds thirteen shillings and - tenpence for Dyat, Expenses and Fees for several Prisoners accused and tryed for Witchcraft within the sd County in the year 1692 Voted That the Petitioner be allowed the Sum of Ten Pounds out of the publick Treasury towards his sd Accompt And the Quarter Sessions of the Peace in sd County of Middlesex are ordered and impowrd to raise on sd County the Remainder of sd Accompt. and pay the Ballance thereof upon their adjustment By Order of the Lieut. Govr. Council and Assembly Isa Addington secry (Reverse) 1697 May 26 (doc) Charges for keeping persons accused of witchcraft The account of Timothy Phillips , Sheriff of the County of Middlesex, for money expended on prisoners accused of witchcraft was approved, Addington , Sec. ordered that the sum of ten pounds out of the Treasury was to be paid on the account, and the rest was to be raised on the County. vol x P [?] Middlesex County Court, Folio Collection, 1698-164-4, Judicial Archives, MA",254,1511
SWP No. 137.37,"John Willard Executed August 19, 1692","May 18, 1692",Deposition,"( Deposition of Mary Walcott v. John Willard ) [+ May 18, 1692] The Deposishion of mary walcott agged above 17 years who testifieth & saith that on the 15'th of may 1692 I saw the apperishtion of John willard who did Immediately affect me most greviously and urged me greviously to write in his book and so he hath contineued eversence greviously torturing by times and threating to kill me if I would not write in his book and he also tould me that he had bewitched his grandfather wilknes: and I being caried up to wills hill on the: 16'th of may a litle before night I saw their the Apperishtion of John #[Wilknes] Willard a choaking Daniell wilknes also on the 18'th may being the day of his examination I was most greviously tortored by him dureing the time of his examination for if he did but look personally upon me he would Immediately strick me down or allmost choak me to death: also severall times during the time of his examination I saw the Apperishtion of John #[Wilk] Willard go from him and afflect the bodyes of mircy lewes Abigail williams Elizabeth Hubburd. and ann putnam Junr Marry Wallcot: upone the Reading of this har testimony to har. did on the oath shi hath takin: owne it to be the truth before us the Juriars for Inquest: this 3'd of June. '92 Jurat in Curia (On Reverse) Mary Walcott ag't John Willard (MS Am 29  Dept. of Rare Books and Manuscripts, Boston Public Library, Boston, MA. )",261,1417
SWP No. 90.1,Jane Lilly,"September 5, 1692",Examination,"(Examination of Jane Lilly and Mary Colson ) [September 5, 1692 ] Jane Lilly examined before their Majests Justices: att salem sept'r. 5th 1692  Jno. Hawthorn Esq'r:  & others When s'd Lilly was brought into: the Court of Justices: Mary Warin Eliz Boothe and others of the afflicted were struck Down into a dredful fitt: & recovered again by a touch of s'd Lillyes hand: Mary Warin Allice Booth. & susanna Post & Mrs. Mary Marshall was asked who struck them down. They answered that it was s'd Lilly It: was s'd to her: Jane Lilly you are acused for afflicting Mrs. Mary Marshall by witchcraft: & now you have hurt many others: now you have an opportunity to: tell the truth: in this matter: but she answered: the truth was she knew nothing of it nor was she Sencible that she was in the devills snare Mary Warin s'd she had sometimes Come to Procters hous but: she denyed that ever she had: had: any Conference with Procter or his wife: she would not own: that she had any hand in killing of W'm Hooper : or in firing the hous: while he lay dead in it: or if she knew of his being killed with a Spear she: was bid to speak the truth: & she s'd she would for god was a god of truth: & she presently Spoke very hoars: Mary Warin coming out of a fitt & other of the afflicted sayd that the black man Choaked her: when she say god was a god of truth: Sam'll Wardwell: also s'd there was sever'l Gallans of wine that day prepared for W'm Hoopers buriall: that was drunk up: and there was five shouts made in triumph at what they had done: Jno Brown sen'r s'd he heard a shouting about that time: that Hoopers hous was fired: the hous was on fire in the roofe first: both Maj'r Swayne Jno. Brown Sen'r Declared: it was told &  s'd Lilly that she s'd: when goodwife Rice was taken up now we shall be Deprived of Drinking of sider: sarah Churchill s'd she had seen s'd Lilly att prison w'th Procters wife but she Denyed it: Lilly looked on the afflicted persons again &: severall of  them fell down: being struck down with her look & by touch of her hand were helped up again & was well: Wardwell also s'd that s'd Lilly : did triumph: when she went away from the firing of Hoopers hous but she s'd she was in her own hous all that time & that she never went: in body nor spirit nor had ever had any [inclynason] to witchcraft: Maj'r Sway told her she had bin a frequenter of DuStins hous: but she s'd if she confessed any thing of this she should Deny the truth & wrong her own soul: this is the Substance of Jane Lillyes : examination:  Attest *Simon Willard. Mary Coulston examined before said Justices for the Maj'ties Sept. 5. 1692 Jno. Hathorn Esq're Mary Coultson: you are here acused for afflicting Mrs Mary Marshall by witchcraft Mrs Marshall with others fell Down at her Coming into the Court. s'd Coultson helped Mrs Marshall up by a touch of her hand: but s'd Coultson s'd she never hurt s'd Marshall in her life: Mrs Marshall was asked how long Coultson had afflicted her: she s'd: at times: she had afflicted her ever since her Mother Dastin had been in Prison and that she did it in vindication of her mother: These 3: Tayler: Lilly & Coultson came to me & s'd [through] Mr. Pearpoint song that Psalm: god will be a husband to the widdow: but he would be none to me they sayd: they told me also if I had served their god my husband had bin alive yet: but s'd Coulston was bid to look on the afflicted persons: and s'd some of the afflicted was bid to look on her: and Eliz Booth: & George Booths wife & Allice Booth with others: was struck Down with her look & afflicted & helpted up & was well by a touch of Coultsons hand: they were asked when they were well agayn who hurt: them & s'd it was Coultson it was told Coultson it was evident that she acted witchcraft now before them: & it was like to apear that she had a hand in W'm Hoopers Death & in Ed Marshals Death: And she s'd if she should Confes she should be by her selfe: examined before Jno. Hawthorn Esq're: & others their Majests: Justice. this is the substance of what Mary Coultson s'd at her examination, Attest *Simon Willard (Reverse)  I und'r written: being appointed by Authority: to take the within examination: Doe testifie upon oath taken in Court that this is a true Coppy of the Substance of it to: the best of my knowledge Janu'ry 5: 1692/3 *Simon Willard the within Jane Lilie was exami[m]ed before their majesties Justices of the peace in Salem atest *John Higginson Just'e peace Owned before the Grand Jury 5 January 1692/3 *Robert Payne: Foreman: I und'r written: being appinted by Authority to take the within examination doe testifie upon oath taken in Court: that this is a true Coppy of the Substance of it: to the best of my knowledge. Jan'y 5 1692/3: *Simon Willard. the within Mary Colson was Examined before their [M] ajesties Justi[c]es of the peace in salem atest *John Higginson Just'e peace owned before the Grand Jury 5 January 1692/3 *Robert Payne Foreman Lillie & Colson Middlisex ( Suffolk Court Files, Vol 32 Docket No. 2714, p. 52, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA. )",960,5138
SWP No. 86.4,"Mary Lacey, Sr.","September 14, 1692",Indictment,"(Indictment of Mary Lacey, Sr. , for Afflicting Elizabeth Hubbard ) [+ September 14, 1692 ] Essex in the Province of the Massachusetts Bay in New England ] Anno R Rs Reginae & Mariae Angliae & Quarto. Anno'qe Domini 1692 The Jurors for o'r Sov'r Lord and Lady the King and Queen doe Present that Mary laceÿ Wife of lawrence lacey of Andivor in the County of Essex Husbandman upon the Twentieth day of July In the year aforesaid and divers other dayes and times as well before as after Certaine detestable Arts called Witchcraft and Sorceries wickedly Mallitiously and felloniously hath used Practised and Exercised at and in the Towne of Salem in the County of Essex aforesaid in upon and against one Elizabeth Hobert of Salem aforesaid Single Woman by which said wicked Acts the said Eliza Hobert the day & Year aforesaid and divers other dayes and Times Both Before and after was and is Tortured aflicted Consum'd Pined Wasted and Tormented and also for Sundry other Acts of witchcraft by the said Mary laceÿ Comitted and done Before and since that Time against the Peace of o'r. Sov'r Lord and Lady the King and Queen theire Crowne and Dignity and the forme of Stattute in that Case made and Provided, (Reverse) Indictm't ags't Mary laceÿ for bewitching Eliza Hobert Billa Vera ( Essex County Court Archives, Salem -- Witchcraft Vol. 2, no. 49, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA. )",249,1448
SWP No. 106.4,Elizabeth Proctor,"April 11, 1692",Council Record,"(Council Record Pertaining to Sarah Cloyce , Martha Cory Dorothy Good , Rebecca Nurse , Elizabeth Proctor & John Proctor ) [April 11, 1692] Salem                     At a Councill held at Salem. and pr'sent Aprill 11 -- 1692 Thomas Danforth Esq'r Dept. Gov'er James Russell -- Maj'r Sam Appleton John Hathorne Capt Samuell Sewall Isaac Adington Jonath' Corwin Esq'rs Whereas Complaint was Exhibited by Capt Jonathan Walcot and Leiu't Nathaniell Ingersall both of Salem Village, on behalfe of theire Majest's not only for themselfes, but also for severall of theire Neighbours Against Sarah Cloyce the wife of peter Cloyce of Salem Village, and Elizabeth procter the wife of John procter of Salem farmes for high Suspition of Sundry acts of witchcraft donne or Committed by them upon the Bodys of abigail Williams and John Indian both of mr Sam parris his famyly in Salem Village, Mary Walcot Ann putnam and Marcy Lewis &c -- accord'g to s'd Compl't appears. Salem Aprill 8'th And Warrants being given forth for theire apprehention s'd Cloyce and procter ware by George Herrick Marshall of Essex brought before us, and mr Samuell parris being desired and appointed to wright the Examination, did take the same & also read itt before the Councill in publicke. And John procter of Salem farmes being then personally present was by Abigail Williams and Anna putnam Charged with severall acts of Witchcraft by him Committed on the person of #[Goody] Mrs pope the wife of mr Joseph pope and Others, who ware at s'd tyme accordingly afflicted apparent to all, likewise marcy Lewis and [] Gold charged s'd John procter at s'd tyme upon w'ch s'd Jno proctor & his wife and Sarah Cloyce ware all Committed to prison per advise of the Councill Aprill 12'th 1692 Also further Information being Given against s'd Jno procter by mr Samueell parris. Aprill 12'th as appeares. Aprill 12'th 1692 John procter and Elizabeth procter his wife and Sarah Cloyce , also: Rebecka Nurse . Martha Cory and Dorothy Good ware sent to Boston Goale per Marshall Geo: Herrick -- upon high Suspition as aboves'd -- (Reverse) Councill at Salem Apr'll 11'th 1692 Sarah Cloyce Eliz. Proctor ( Essex County Court Archives, Salem -- Witchcraft Vol. 1, no. 92, Massachusetts Supreme Judicial Court, Judicial Archives, on deposit James Duncan Phillips Library, Peabody Essex Museum, Salem, MA. )",393,2356
SWP No. 137.3,"John Willard Executed August 19, 1692","May 17, 1692",Statement,"( Statement by George Herrick and & Benjamin Wilkins v. John Willard & Sarah Buckley ) [May 17, 1692] To: the Hon'ble John Hathorne and Jonathan Corwin Esq'rs att Boston Humbly Thees Dated Salem Village May 17'th 1692 This day Goeing to Salem village by yo'r order I found all the five persons brought their which wee was in persute of we had no sooner secured them in the watchhouse but Counstable John Puttnam came in with John Willard haveing seized him att Nashaway hee beeing att worke with a howe, hee No sooner arrived, butt the afflicted persons made such an out Crye that I was forced to pinion him I have an accompt from thees whoos names are under written that on the 14'th day of Instant may Daniell Willkins about tenn of the clock in the morning was taken speechless and never spoak untell the 16'th day in the intervale of time wee often Endeavoured to make him take something in A spoone but what hee tooke in which was but little hee spitt it out in our faces w'th that wee sent to the french Doctor but hee sent word againe that it was not A naturall Cause but absolutly witchcraft to his Judgment that same day two of the afflicted persons Came up to vissett to Daniell Willkins the last night beeing the 16'th day Marcy Lewis and Mary Wallkott beeing their both did see the s'd John Willard and Goodwife Buckly upon the s'd Daniell Willkins and said that they would Kill him and in three hours after the s'd Daniell Departed this life in a Most dolful and solome Condition Therefore wee humbley begg of Yo'r Honnors to Dispach A Returne for an Examination to prevent any farther murther in the afflicted Creatours who Continue in a lemetable Condition and so wee Remaine yo'r Hon'rs most humble servants *G Herrick This breeiffe accompt was taken from Benj willkins by the consent of wee wheos name are under written and sent by me Ezekiell Cheevers * Geo: Herrick Marshall *Joseph Neale Cos'tt * John Putnam Cos'tt * Jonathan putnam Constable * Nathanell Putnam * John putnam sen * Jonathan Walcott * Thomas flint * Edward Putnam * John Buxton *T homas Putnam Mr. pariss is gon to Salem (Reverse) Nath'l Putnam & attenacon ag't John Willard ( MS Am 51, Rare Books and Manuscripts, Boston Public Library, Boston, MA. )",406,2238
SWP No. 13.15,"Bridget Bishop Executed, June 10, 1692","June 1, 1692",Testimony,"(Testimony of Sarah Churchill v. Goody Pudeator & Testimony of Mary Warren v. Bridget Bishop , Elizabeth Cary , George Jacobs_Sr . & Ann Pudeator [June 1, 1692] Sarah Churchwell confesseth that Goody pudeator brought the  book to this Examin't and she signed it, but did not know her at  that tyme but when she saw her she knew her to be the same and  that Goody Bishop also Olliver appeared to this Examinant & told her  she had killed John Trask's Child, (whose Child dyed about that tyme) & said Bishop alias Olliver afflicted her as alsoe did old George  Jacobs , and before that time this Examin't being afflicted could not  doe her service as formerly and her s'd Master Jacobs called her bitch  witch & ill names & then afflicted her as #[before] above and that  pudEater brought 3: Images like Mercy Lewis , Ann putnam , Eliza' Hubbard & they brought her thornes & she stuck them in the Images & told her the persons whose likeness they were, would be afflected  & the other day saw Goody Olliver #[sitt] sate upon her knee, This Confession was taken before John Hathorne and Jonathan Corwin Esq'rs 1' o[f] June 1692, as attests *Tho Newton Jurat in Curia by Sarah Churchill (Reverse) Mary Warren aged 20: yeares or thereabouts testifyeth & saith That severall times after the Nyneteenth day of April last when Bridgett Bishop als Olliver who was in the Gaol at Salem she did appear to  this depon't tempting her to signe the book & oft times during her being there as afores'd the s'd Bridgett did torture & afflict this depon't & being in Chaines said tho: she could not do it, she would bring one that #[ m's Cary to] should doe it which now she knowes to be m's Cary that then came & afflicted her, Sworne before us the 1. day of June 1692 *John Hathorne *Jonathan. Corwin {  Assis'ts Sarah Churchw[Lost] [= Churchwell] agt pudeater ( Essex County Court Archives, Salem - Witchcraft vol. 1, no. 262. Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives. Boston, MA. )",358,2012
SWP No. 6.1,John Alden,"May 31, 1692",Warrant,"(Warrant for the Apprehension of John Alden & Officer's Return) [May 31, 1692] To the Constable of Salem Essex Ss Whereas Complaint hath been made unto us John Hathorne & Jonathan Corwin Esq'rs by severall persons of Salem Village  that Cap't John Alden of Boston Marrin'r # [that he] is guilty of witchcraft in cruelly tortureing & afflicting several of their  Children  & others these are therefore in their Maj'ties King William  & Queen Maryes name to Authorize & Comand you forthwith to Apprehend the body of the said John Alden and Imediately bring him  before us to Answer what shall be objected ag't him in that behalfe and this shall be yo'r sufficient warrant Given under our hands the  31st day of May 1692 And in the fourth year of the Reigne of our Sovereigne Lord and Lady William & Mary now King and Queen  over England &c Per us * John Hathorne * Jonathan. Corwin {  Assis'ts Persons Complaining viz't Mary Walcott Mercy Lewis Abigail Williams Ann putnam Elizabeth Booth Mary Warren (Reverse) In obediance to the within written warant I have Apprehended the Body of Cap't John Alden accordeing to tener of this warant (In right margin) John Alden ( Essex County Court Archives, Salem - Witchcraft, Vol. 2, No. 107 ) Notes ( When this symbol precedes bracketed material in these documents, it signifies that in the  original a line is drawn through the bracketed word or words. (Bracketed words not  preceded by the “#” represent informed guesses as to words that in the original are either illegible or, through the wear and  tear of the centuries, obliterated entirely.) (* An asterisk preceding a name in these documents signifies that in the original it is an  autograph signature. )",293,1702
